Age,Gender,Height_cm,Weight_kg,Goal,Vegetarian,Diabetic,High_BP,Activity_Level,Dietary_Restrictions,Allergies,Preferred_Cuisine,BMI,BMR,activity_factor,Daily_Calories,target_protein_g,target_fat_g,target_carb_g,sodium_limit_mg,cal_breakfast,cal_lunch,cal_dinner,cal_snacks,recommended_weekly_exercise_hours,exercise_type,Diet_Recommendation
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2504,70.0,83.5,368.1,2300,551,776,876,301,3.28,Moderate (Cardio + Strength),Balanced
30,Female,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1451.5,1.55,2312,70.0,77.1,334.5,2300,509,717,809,277,2.05,Moderate (Cardio + Strength),Balanced
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2549,70.0,85.0,376.0,2300,561,790,892,306,2.55,Moderate (Cardio + Strength),Balanced
30,Female,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1451.5,1.55,2272,70.0,75.7,327.7,2300,500,704,795,273,2.45,Moderate (Cardio + Strength),Balanced
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2477,70.0,82.6,363.4,2300,545,768,867,297,3.47,Moderate (Cardio + Strength),Balanced
30,Female,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1451.5,1.55,2222,70.0,74.1,318.8,2300,489,689,778,266,3.35,Moderate (Cardio + Strength),Balanced
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2464,70.0,82.1,361.3,2300,542,764,862,296,3.78,Moderate (Cardio + Strength),Balanced
30,Female,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1451.5,1.55,2302,70.0,76.7,332.9,2300,506,714,806,276,2.17,Moderate (Cardio + Strength),Balanced
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2532,70.0,84.4,373.1,2300,557,785,886,304,2.84,Moderate (Cardio + Strength),Balanced
30,Female,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1451.5,1.55,2284,70.0,76.1,329.8,2300,502,708,799,275,2.06,Moderate (Cardio + Strength),Balanced
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2460,70.0,82.0,360.5,2300,541,763,861,295,2.44,Moderate (Cardio + Strength),Balanced
30,Female,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1451.5,1.55,2314,70.0,77.1,335.0,2300,509,717,810,278,3.01,Moderate (Cardio + Strength),Balanced
30,Male,170.0,70.0,maintain,No,No,No,Moderate,,,,24.22,1617.5,1.55,2561,70.0,85.4,378.1,2300,563,794,896,308,2.05,Moderate (Cardio + Strength),Balanced
